ID_Prestamo_Unico;ID_Cliente;Fecha_Originacion;Monto_Prestamo_USD;Saldo_Actual_Prestamo_USD;Total_Pagado_Capital_USD;Monto_Mora_Sin_Cargos_USD;Cuotas_Mora;Dias_Mora_DPD;Estado_Orden;Fecha_Vencimiento_1ra_Cuota;Monto_1ra_Cuota_USD;FPD;Score_Crediticio_Usuario;Tipo_Producto_Vertical
8930384;1167753;07/11/2024;41.76;41.76;0.0;41.76;3;131.0;DELAYED;21/11/2024;13.92;Yes;335.0;Moda
11315833;6084686;14/12/2024;35.5;0.0;35.5;0.0;0;;CLOSED;28/12/2024;11.83;No;387.0;Hogar
17342506;6669465;12/03/2025;22.7;0.0;22.7;0.0;0;;CLOSED;26/03/2025;22.7;No;434.0;Supermercados
11465012;6522243;15/12/2024;41.41;0.0;41.41;0.0;0;;CLOSED;29/12/2024;13.8;No;421.0;Moda
16812428;1014428;03/03/2025;51.49;17.16;34.33;0.0;0;;IN_PROGRESS;17/03/2025;17.16;No;454.0;Herramientas
15414020;2669110;09/02/2025;49.85;0.0;49.85;0.0;0;;CLOSED;23/02/2025;49.85;No;13.0;Supermercados
11326463;9564758;14/12/2024;29.69;0.0;29.69;0.0;0;;CLOSED;28/12/2024;9.9;No;450.0;Salud
12735039;3220336;24/12/2024;11.2;0.0;11.2;0.0;0;;CLOSED;07/01/2025;3.73;No;475.0;Moda
14091671;5845989;16/01/2025;13.3;0.0;13.3;0.0;0;;CLOSED;30/01/2025;13.3;No;403.0;Farmacias
17411306;7422753;13/03/2025;30.0;20.0;10.0;0.0;0;;IN_PROGRESS;27/03/2025;10.0;No;386.0;Moda
17366783;9797090;12/03/2025;184.2;122.8;61.4;0.0;0;;IN_PROGRESS;26/03/2025;61.4;No;17.0;Salud
12802583;1445480;26/12/2024;15.5;0.0;15.5;0.0;0;;CLOSED;09/01/2025;5.17;No;481.0;Moda
14443099;7093048;23/01/2025;18.0;0.0;18.0;0.0;0;;CLOSED;06/02/2025;6.0;No;320.0;Hogar
8979446;7506023;08/11/2024;72.0;0.0;72.0;0.0;0;;CLOSED;22/11/2024;24.0;No;413.0;Tecnología
18338187;8711026;26/03/2025;108.0;72.0;36.0;0.0;0;;IN_PROGRESS;09/04/2025;36.0;No;462.0;Hogar
13456972;8147875;02/01/2025;15.3;0.0;15.3;0.0;0;;CLOSED;16/01/2025;5.1;No;565.0;Herramientas
14705847;3318116;28/01/2025;12.0;0.0;12.0;0.0;0;;CLOSED;11/02/2025;4.0;No;428.0;Moda
8795159;7381172;04/11/2024;34.1;0.0;34.1;0.0;0;;CLOSED;18/11/2024;11.37;No;427.0;Herramientas
15537373;1577887;11/02/2025;14.0;0.0;14.0;0.0;0;;CLOSED;25/02/2025;4.67;No;542.0;Moda
